ID;Fecha;Estación;Hora;Ubicación;Provincia;Com_Autónoma;Lat;Long;Inds;Viva;Muerta;nd;Heridas;M_sex;H_sex;nd_sex;Adult;Juv;New;Emb;nd;DW;Algo. Int.;Apareamiento;Embarazo;Posible Emb;Parto;Agreg;Descanso;Estrés;Alimen;Otros;Fuente_tipo;Fuente;Rep;Link;Observaciones;
P_violacea_012;22/08/2013;Verano;nd;Cala Santanyí;Islas Baleares;Islas Baleares;39,3226463;3,1462631;1;0;0;1;No;0;1;0;1;0;0;0;0;nd;0;0;0;0;0;0;0;0;0;0;Database;GBIF;;https://observation.org/observation/297108565/;;
P_violacea_025;23/08/2013;Verano;nd;La Mata;Alicante;Comunidad Valenciana;38,0196000;-0,6518000;1;0;1;0;No;0;0;1;0;1;0;0;0;nd;1;0;0;0;0;0;0;0;0;1;Database;Obsdelmar;;https://www.observadoresdelmar.es/Observations/213424;Se ve muy pequeño y se puede estimar tamaño;
P_violacea_260;30/08/2013;Verano;14:00;La Malva-Rosa;Valencia;Comunidad Valenciana;39,4774070;-0,3226083;3;3;0;0;nd;0;1;2;1;0;2;0;0;nd;1;0;0;0;1;0;0;0;0;0;Prensa;Levante-EMV;;https://www.levante-emv.com/valencia/2013/08/01/reabren-playas-valencia-verse-ayer-12875744.html;Las crías nacieron en el Oceanográfic (https://www.levante-emv.com/valencia/2013/08/27/nacen-crias-pez-raya-hallado-12868514.html). Las crías pesan alrededor de 150 gramos, presentan un diámetro de unos 10 centímetros y tienen su aguijón bien formado al principio de su cola de 35 centímetros. También en este vídeo (https://www.youtube.com/watch?v=MzI9cYTy06s&ab_channel=GeneralitatValenciana) mencionan que de 7 rayas pelágicas atentidas ese año (2013), 6 presentaban signos de parto y la otra pues parió ahí en cuarentena etc;
P_violacea_261;30/08/2013;Verano;14:00;Playa del Cabanyal;Valencia;Comunidad Valenciana;39,4685272;-0,3218389;2;2;0;0;nd;0;0;2;0;0;0;0;2;nd;0;0;0;0;0;0;0;0;0;0;Prensa;Levante-EMV;;https://www.levante-emv.com/valencia/2013/08/01/reabren-playas-valencia-verse-ayer-12875744.html;;
P_violacea_403;22/07/2014;Verano;nd;La Granadella;Alicante;Comunidad Valenciana;38,7279714;0,1987098;1;1;0;0;Si;0;1;0;1;0;0;0;0;nd;0;0;0;0;0;0;0;0;0;0;Redes Sociales;Instagram;;https://www.instagram.com/reel/C9ue24et6xk;Coords aproximadas;
P_violacea_144;16/05/2015;Primavera;nd;San Agustín;Almería;Andalucía;36,6720668;-2,6606359;1;1;0;0;Si;0;1;0;1;0;0;0;0;nd;1;0;0;1;0;0;0;0;0;0;Database;Obsdelmar;;https://www.observadoresdelmar.es/Observations/1800301;Parece que está embarazada!;
P_violacea_031;04/06/2015;Verano;nd;Torrevieja;Alicante;Comunidad Valenciana;37,9854000;-0,6054000;1;0;1;0;Si;0;0;1;1;0;0;0;0;nd;1;0;0;0;0;0;0;0;0;0;Database;Obsdelmar;;https://marineinfo.org/id/dataset/6526;Tamaño estimado 70-80 cm<br /> Peso estimado 20 kg,Hola J. Antonio, muchas gracias por tu observación. Esta es una especie muy interesante, de la cual no hay muchos reportes en estas costas, si puedes enviarme más fotos estaría muy bien, saludos;
P_violacea_019;16/01/2016;Invierno;20:39;;Islas Baleares;Islas Baleares;38,6320020;0,7820100;1;1;0;0;No;0;0;1;0;0;0;0;1;nd;1;0;0;0;0;0;0;0;0;0;Database;GBIF;;;;
P_violacea_395;16/01/2016;Invierno;nd;Calpe;Alicante;Comunidad Valenciana;38,6316847;0,0774347;1;1;0;0;No;0;1;0;1;0;0;0;0;nd;1;0;0;0;0;0;1;0;0;0;Database;iNaturalist;;https://www.inaturalist.org/observations/120705686;Descansando sobre el fondo;
P_violacea_184;16/05/2016;Primavera;nd;Palma;Islas Baleares;Islas Baleares;39,5002237;2,6608700;1;1;0;0;No;1;0;0;1;0;0;0;0;nd;0;0;0;0;0;0;0;0;0;0;Redes Sociales;YouTube;;https://www.youtube.com/watch?v=fv0huisSrTQ&ab_channel=pacov.;Coords aproximadas;
P_violacea_043;22/07/2016;Verano;nd;Enix;Almería;Andalucía;36,8179425;-2,5332835;2;2;0;0;No;1;1;0;2;0;0;0;0;nd;1;1;0;0;0;0;0;0;0;0;Redes Sociales;Vimeo;;https://vimeo.com/175886064;Apareamiento;
P_violacea_044;30/07/2016;Verano;nd;Moraira;Alicante;Comunidad Valenciana;38,6858224;0,1544406;1;1;0;0;Si;0;1;0;1;0;0;0;0;nd;1;0;1;0;0;0;0;0;0;0;Redes Sociales;Facebook;;www.facebook.com/L.Elasmogrup/posts/542435975957971;Embarazada;
P_violacea_045;30/07/2016;Verano;nd;Santa Margalida;Islas Baleares;Islas Baleares;39,7762338;3,1497189;1;1;0;0;No;0;0;1;1;0;0;0;0;nd;0;0;0;0;0;0;0;0;0;0;Redes Sociales;Twitter;;https://twitter.com/irenina14/status/759349778249572352;En playa y fue reorientada;
P_violacea_046;05/08/2016;Verano;nd;Punta Prima;Islas Baleares;Islas Baleares;39,8125917;4,2835301;1;0;0;1;nd;0;0;1;0;0;0;0;1;nd;0;0;0;0;0;0;0;0;0;0;Redes Sociales;Twitter;;https://twitter.com/tomeumir78/status/761594642739716097;Página no existe ya;
P_violacea_047;08/08/2016;Verano;nd;Barcelona;Barcelona;Cataluña;41,3788082;2,1949402;1;1;0;0;No;0;1;0;1;0;0;0;0;nd;0;0;0;0;0;0;0;0;0;0;Redes Sociales;Twitter;;https://twitter.com/rtvenoticies/status/762408730164072448;;
P_violacea_172;10/08/2016;Verano;nd;Xàbia;Alicante;Comunidad Valenciana;38,8183716;0,1762341;1;1;0;0;Si;0;0;1;0;0;0;0;1;nd;0;0;0;0;0;0;0;0;0;0;Redes Sociales;Facebook;;https://www.facebook.com/watch/?v=989793194453155&rdid=gyZOVCdabON18HiS;;
P_violacea_028;13/08/2016;Verano;nd;Sa Tuna;Girona;Cataluña;41,9601000;3,2315000;1;1;0;0;Si;0;1;0;1;0;0;0;0;nd;0;0;0;0;0;0;0;0;0;0;Database;Obsdelmar;;https://www.observadoresdelmar.es/Observations/206216;"Tengo alguna foto más. No estoy al 100% seguro de que sea esta especie,Muchas gracias Juan! He validado la especie en base a las otras fotos que me mandaste. Tu observación ha sido fundamental para poder confirmar la presencia de esta especie en la Costa Brava: este es el principal valor de ""Observadores del mar""! Confirmaría que esta especie se ha dejado ver mucho más al norte y mucho más frecuentemente que nunca en aguas litorales del Mediterráneo noroccidental.";
P_violacea_040;14/08/2016;Verano;21:40;Islas Columbretes;Castellón;Comunidad Valenciana;39,8816570;0,6727490;1;1;0;0;Si;0;1;0;1;0;0;0;0;nd;0;0;0;0;0;0;0;0;0;0;Database;GBIF;;https://www.inaturalist.org/observations/3968440;;
P_violacea_126;04/09/2016;Verano;nd;Badalona;Barcelona;Cataluña;41,4401471;2,2472849;1;1;0;0;Si;0;1;0;0;0;0;0;1;nd;1;0;0;1;0;0;0;0;0;0;Redes Sociales;Instagram;;https://www.instagram.com/p/BJ8FsLhgrEC/;"Tiene la región dorsal así como ""hinchada""";
P_violacea_048;09/09/2016;Verano;nd;Motril;Granada;Andalucía;36,7179117;-3,5415474;3;0;3;0;nd;0;1;2;1;0;2;0;0;nd;1;0;0;0;1;0;0;0;0;0;Redes Sociales;Twitter;;https://twitter.com/losMotriles/status/774338161153568768;Dando luz en playa a 2 crías!;
P_violacea_237;26/06/2017;Verano;nd;El Garraf;Barcelona;Cataluña;41,1983954;1,9231849;1;1;0;0;No;0;1;0;1;0;0;0;0;nd;0;0;0;0;0;0;0;0;0;0;Redes Sociales;Instagram;;https://www.instagram.com/p/BVz9nP8FeiZ/;Coords aproximadas;
P_violacea_037;01/07/2017;Verano;8:54;Cala Montjoi;Girona;Cataluña;42,2491150;3,2275980;1;1;0;0;Si;0;0;1;0;0;0;0;1;nd;1;0;0;1;0;0;0;0;0;0;Database;GBIF;;https://www.inaturalist.org/observations/90363596;"Tiene la región dorsal como ""hinchada""";
P_violacea_049;02/08/2017;Verano;nd;Valencia;Valencia;Comunidad Valenciana;;;1;0;0;1;nd;0;0;1;0;0;0;0;1;nd;0;0;0;0;0;0;0;0;0;0;Redes Sociales;Instagram;;www.instagram.com/p/BXSTZaJg_4N;Coord imp, cuanta ya no existe. Pesca;
P_violacea_459;12/08/2017;Verano;19:00;Isla de Cabrera, Es Fondalet;Islas Baleares;Islas Baleares;39,1653667;2,9474028;1;1;0;0;No;0;1;0;1;0;0;0;0;nd;1;0;0;1;0;0;0;0;0;0;Database;iNaturalist;;https://www.inaturalist.org/observations/317348920;Parece tener región dorsal hinchado (quizás embarazada);
P_violacea_050;16/08/2017;Verano;nd;Caldas de Estrach;Barcelona;Cataluña;41,5666851;2,5254423;1;1;0;0;Si;0;0;1;0;0;0;0;1;nd;1;0;0;0;0;0;0;1;0;1;Redes Sociales;Instagram;;https://www.instagram.com/p/BX21NNjBey0/;"Cola pelada y parece mostrar estrés al ""comprimir"" el disco o es la sensación que da. Movimientos erráticos y varamientos en playa";
P_violacea_158;29/08/2017;Verano;nd;;Islas Baleares;Islas Baleares;40,0382979;3,3939458;1;0;1;0;No;1;0;0;0;1;0;0;0;nd;1;0;0;0;0;0;0;0;0;1;Database;Obsdelmar;;https://www.observadoresdelmar.es/Observations/1800133;Parece juvenil. Capturada;
P_violacea_290;15/04/2018;Primavera;nd;;Tarragona;Cataluña;40,9793833;1,3636000;6;0;6;0;nd;0;0;6;6;0;0;0;0;nd;0;0;0;0;0;0;0;0;0;0;Artículo;Vigo et al., 2024;;https://doi.org/10.1016/j.marenvres.2024.106651;Pesca palangre. DW = 51.83 ± 4.39 (verano) 49.20 ± 3.98 (otoño);
P_violacea_291;23/04/2018;Primavera;nd;;Tarragona;Cataluña;40,9316167;1,3158500;8;0;8;0;nd;0;0;8;8;0;0;0;0;nd;0;0;0;0;0;0;0;0;0;0;Artículo;Vigo et al., 2024;;https://doi.org/10.1016/j.marenvres.2024.106651;Pesca palangre. DW = 51.83 ± 4.39 (verano) 49.20 ± 3.98 (otoño);
P_violacea_292;27/04/2018;Primavera;nd;;Tarragona;Cataluña;40,9208500;1,3004500;8;0;8;0;nd;0;0;8;8;0;0;0;0;nd;0;0;0;0;0;0;0;0;0;0;Artículo;Vigo et al., 2024;;https://doi.org/10.1016/j.marenvres.2024.106651;Pesca palangre. DW = 51.83 ± 4.39 (verano) 49.20 ± 3.98 (otoño);
P_violacea_293;01/05/2018;Primavera;nd;;Tarragona;Cataluña;40,9474500;1,3103333;8;0;8;0;nd;0;0;8;8;0;0;0;0;nd;0;0;0;0;0;0;0;0;0;0;Artículo;Vigo et al., 2024;;https://doi.org/10.1016/j.marenvres.2024.106651;Pesca palangre. DW = 51.83 ± 4.39 (verano) 49.20 ± 3.98 (otoño);
P_violacea_051;04/05/2018;Primavera;nd;Cabo de Gata;Almería;Andalucía;36,7749483;-2,2417495;1;0;0;1;nd;0;0;1;0;0;0;0;1;nd;0;0;0;0;0;0;0;0;0;0;Redes Sociales;Instagram;;www.instagram.com/p/BmBjT8iHfnH;Cuenta privada;
P_violacea_052;05/05/2018;Primavera;nd;Playa Arrabassada;Tarragona;Cataluña;41,1188894;1,2781905;1;1;0;0;No;0;0;1;0;0;0;0;1;nd;0;0;0;0;0;0;0;0;0;0;Redes Sociales;Instagram;;www.instagram.com/p/BmAtL64jV7m;;
P_violacea_200;21/06/2018;Verano;nd;Alcossebre;Castellón;Comunidad Valenciana;40,2436708;0,2787965;1;1;0;0;Si;0;0;1;1;0;0;0;0;nd;0;0;0;0;0;0;0;0;0;0;Redes Sociales;Twitter;;https://x.com/csinformacion/status/1009752948019220480;;
P_violacea_053;19/07/2018;Verano;nd;Llançà;Girona;Cataluña;42,3613032;3,1661867;1;1;0;0;Si;0;1;0;1;0;0;0;0;nd;0;0;0;0;0;0;0;0;0;0;Redes Sociales;Instagram;;www.instagram.com/p/Blamn6VnUT_;;
P_violacea_032;22/07/2018;Verano;nd;Cap de Formentor;Islas Baleares;Islas Baleares;39,9629000;3,2107000;1;1;0;0;Si;0;1;0;0;0;0;0;1;nd;0;0;0;0;0;0;0;0;0;0;Database;Obsdelmar;;https://www.observadoresdelmar.es/Observations/210402;Foto de Gregor Schlüter,Muchas gracias por esta observación Tramuntana Diving! Esta especie es muy importante en nuestro #retoraya ya que podría ser indicadora del cambio climático,<br /> <br /> saludos<br /> <br /> Claudio;
P_violacea_054;24/07/2018;Verano;nd;Badalona;Barcelona;Cataluña;41,4481068;2,2537085;1;1;0;0;nd;0;0;1;1;0;0;0;0;nd;0;0;0;0;0;0;0;0;0;0;Redes Sociales;Twitter;;https://twitter.com/daniel_julia/status/1021662703264382976;Cerca de costa;
P_violacea_035;25/07/2018;Verano;nd;;Barcelona;Cataluña;41,2358834;1,8290563;1;1;0;0;Si;0;0;1;0;0;0;0;1;nd;0;0;0;0;0;0;0;0;0;0;Database;Obsdelmar;;https://www.observadoresdelmar.es/Observations/210025;Tiene coords raras (40.9790000, 1.9335000)... lo he aproximado a BCN/Garraf que es el punto de costa más cercano porque a 1 metro en alta mar es imposible! Comentario obsdelmar: Lo he puesto en conocimiento del 112 por si la raya sufria algun daño de las personas o las personas de la raya ,ya que estaba en la misma orilla con solo medio metro de profundidad,mide algo mas de un metro con cola incluida,Hola Genoveva,<br /> <br /> Muchas gracias por observación, es muy interesante!. A pesar de que se han avistado muchas rayas de esta especie este verano, es la primera observación de una raya en estas condiciones, una pena. <br /> <br /> saludos<br /> <br /> Claudio;
P_violacea_055;25/07/2018;Verano;nd;Barceloneta;Barcelona;Cataluña;41,3706438;2,1909451;1;1;0;0;nd;0;0;1;0;0;0;0;1;nd;0;0;0;0;0;0;0;0;0;0;Redes Sociales;Facebook;;www.facebook.com/Sotosypuente/videos/1761400767228286;;
P_violacea_056;26/07/2018;Verano;nd;Torredembara;Tarragona;Cataluña;41,1441349;1,4159485;1;1;0;0;nd;0;0;1;0;0;0;0;1;nd;0;0;0;0;0;0;0;0;0;0;Redes Sociales;YouTube;;https://www.youtube.com/watch?v=OwBd5KjYMqA&ab_channel=JaumeEsteve;;
P_violacea_057;28/07/2018;Verano;nd;Cólera;Girona;Cataluña;42,4050557;3,1573966;1;1;0;0;Si;0;0;1;1;0;0;0;0;nd;0;0;0;0;0;0;0;0;0;0;Redes Sociales;Instagram;;www.instagram.com/p/BlyYoZhAZdc;;
P_violacea_450;28/07/2018;Verano;nd;Masia Blanca;Tarragona;Cataluña;41,1749882;1,5078455;1;1;0;0;No;0;1;0;1;0;0;0;0;nd;1;0;0;1;0;0;0;0;0;0;Redes Sociales;Facebook;;https://www.facebook.com/aulaaquatica/videos/1399797346830472/?__cft__[0]=AZWd29ZIaFpfz6JMSEO1-Pn22iVFKGHRPHqBDy2UMzjkDvS_pmuVgtzqjHCJny4V3Fokfc8HRsOUGIaUBMlfWvYtFXuN8KFyiGt-Pq0Iw96_7Uw9G4bk3iowhVr0kj8tvCHRtgt9NqrD_5NYpOlKkI7SF_kBDZBAhOaTGt8rDAGtsg&__tn__=%2CO%2CP-R;Tiene región dorsal algo abultada;
P_violacea_058;29/07/2018;Verano;nd;Portbou;Girona;Cataluña;42,4282119;3,1651550;1;1;0;0;No;0;0;1;1;0;0;0;0;nd;0;0;0;0;0;0;0;0;0;0;Redes Sociales;Instagram;;www.instagram.com/p/Bl0z5khFRiV;;
P_violacea_059;29/07/2018;Verano;nd;Tossa de Mar;Girona;Cataluña;41,7210572;2,9419564;1;0;0;1;nd;0;0;1;0;0;0;0;1;nd;0;0;0;0;0;0;0;0;0;0;Redes Sociales;Facebook;;www.facebook.com/4allDivers/photos/a.400957879929895.116171.400925973266419/2574877045871290;;
P_violacea_060;30/07/2018;Verano;nd;Portbou;Girona;Cataluña;42,4282119;3,1651550;2;2;0;0;Si/No;0;0;2;0;0;0;0;2;nd;1;0;0;0;0;0;1;0;0;1;Redes Sociales;Facebook;;https://www.facebook.com/enric.e.rovira/posts/10216189025339313;Creo que la publicación son 2 ejemplares diferentes porque una tiene herida y otra no en la misma aleta. Curiosamente una foto de una violacea en el fondo semienterrada;
P_violacea_061;01/08/2018;Verano;nd;Roses;Girona;Cataluña;42,2624522;3,1720994;1;1;0;0;No;0;1;0;0;0;0;0;1;nd;0;0;0;0;0;0;0;0;0;0;Redes Sociales;Twitter;;https://twitter.com/LluciGarcia/status/1024667361222316033;;
P_violacea_062;01/08/2018;Verano;nd;Tarragona;Tarragona;Cataluña;41,1279265;1,3071806;1;1;0;0;nd;0;0;1;0;0;0;0;1;nd;0;0;0;0;0;0;0;0;0;0;Redes Sociales;Twitter;;https://twitter.com/Jnaduch/status/1024613071527075840;;
P_violacea_063;02/08/2018;Verano;nd;Pineda de Mar;Barcelona;Cataluña;41,6184855;2,6887821;1;1;0;0;Si;0;1;0;1;0;0;0;0;nd;0;0;0;0;0;0;0;0;0;0;Redes Sociales;Twitter;;https://twitter.com/alcantara_alb/status/1025004484844572672;;
P_violacea_064;02/08/2018;Verano;nd;Tarragona;Tarragona;Cataluña;41,1330887;1,3832658;1;1;0;0;nd;0;0;1;0;0;0;0;1;nd;0;0;0;0;0;0;0;0;0;0;Redes Sociales;YouTube;;https://www.youtube.com/watch?v=eJnhYL7uiGE&ab_channel=TarragonaDigital;;
P_violacea_143;02/08/2018;Verano;nd;San Agustín;Almería;Andalucía;36,6720668;-2,6606359;2;2;0;0;nd;1;1;0;2;0;0;0;0;nd;1;1;0;0;0;0;0;0;0;0;Database;Obsdelmar;;https://www.observadoresdelmar.es/Observations/1800354;Apareamiento;
P_violacea_013;03/08/2018;Verano;nd;Colera;Girona;Cataluña;42,4092200;3,1620900;1;0;0;1;nd;0;0;1;0;0;0;0;1;nd;0;0;0;0;0;0;0;0;0;0;Database;GBIF;;4A9DDA1F-B7E7-3E13-E053-2614A8C02B7C;;
P_violacea_065;03/08/2018;Verano;nd;Platja de Segur de Calafell;Tarragona;Cataluña;41,1877943;1,6014574;1;1;0;0;Si;0;1;0;0;0;0;0;1;nd;0;0;0;0;0;0;0;0;0;0;Redes Sociales;Instagram;;www.instagram.com/p/Bl-wlDkDqUl;;
P_violacea_066;03/08/2018;Verano;nd;El Prat de Llobregat;Barcelona;Cataluña;41,2862928;2,1050164;1;1;0;0;nd;0;0;1;0;0;0;0;1;nd;0;0;0;0;0;0;0;0;0;0;Redes Sociales;Twitter;;https://twitter.com/alcantara_alb/status/1025270992590000128;;
P_violacea_067;03/08/2018;Verano;nd;Torredembara;Tarragona;Cataluña;41,1389587;1,4072089;1;1;0;0;nd;0;0;1;0;0;0;0;1;nd;0;0;0;0;0;0;0;0;0;0;Redes Sociales;Twitter;;https://twitter.com/OnaLaTorre/status/1025431119670509568;;
P_violacea_068;03/08/2018;Verano;nd;Platja de l'Arrabassada;Tarragona;Cataluña;41,1186717;1,2775099;1;1;0;0;nd;0;0;1;0;0;0;0;1;nd;0;0;0;0;0;0;0;0;0;0;Redes Sociales;Twitter;;https://twitter.com/HoladeValls/status/1025347903970271233;;
P_violacea_131;03/08/2018;Verano;nd;Roses;Girona;Cataluña;42,2619477;3,1683497;1;1;0;0;nd;0;0;1;0;0;0;0;1;nd;0;0;0;0;0;0;0;0;0;0;Prensa;El Gerió Digital;;https://www.gerio.cat/noticia/342399/proteccio-civil-alerta-de-la-presencia-de-mantes-a-les-platges-de-colera-i-roses;;
P_violacea_132;03/08/2018;Verano;nd;Colera;Girona;Cataluña;42,4061291;3,1580511;1;1;0;0;nd;0;0;1;0;0;0;0;1;nd;0;0;0;0;0;0;0;0;0;0;Prensa;El Gerió Digital;;https://www.gerio.cat/noticia/342399/proteccio-civil-alerta-de-la-presencia-de-mantes-a-les-platges-de-colera-i-roses;;
P_violacea_431;03/08/2018;Verano;nd;Platja del Garbet;Girona;Cataluña;42,3933074;3,1533045;1;1;0;0;Si;0;1;0;1;0;0;0;0;nd;1;0;0;1;0;0;0;0;0;0;Redes Sociales;Instagram;;https://www.instagram.com/p/BmBhsBgnhPe;"Parte dorsal parece ""hinchada""";
P_violacea_069;04/08/2018;Verano;nd;Platja de Garbet;Girona;Cataluña;42,3929615;3,1559426;1;1;0;0;No;0;1;0;1;0;0;0;0;nd;0;0;0;0;0;0;0;0;0;0;Redes Sociales;Instagram;;www.instagram.com/p/BmBkFVLnffp;Muy cerca de la orilla;
P_violacea_070;04/08/2018;Verano;nd;Torredembara;Tarragona;Cataluña;41,1418154;1,4120187;1;1;0;0;Si;0;0;1;0;0;0;0;1;nd;0;0;0;0;0;0;0;0;0;0;Redes Sociales;Instagram;;www.instagram.com/p/BmD9X8cg8l5;;
P_violacea_071;04/08/2018;Verano;nd;Portbou;Girona;Cataluña;42,4282119;3,1651550;1;1;0;0;No;0;1;0;1;0;0;0;0;nd;0;0;0;0;0;0;0;0;0;0;Redes Sociales;Instagram;;www.instagram.com/p/BmDX4s8BfW3;;
P_violacea_072;04/08/2018;Verano;nd;Platja del Morts;Girona;Cataluña;42,4062844;3,1589481;1;1;0;0;Si;0;1;0;1;0;0;0;0;nd;0;0;0;0;0;0;0;0;0;0;Redes Sociales;Instagram;;www.instagram.com/p/BmBjf2sH5As;;
P_violacea_073;04/08/2018;Verano;nd;Platja d'Arenys;Barcelona;Cataluña;41,5772717;2,5528029;1;1;0;0;No;0;0;1;0;0;0;0;1;nd;0;0;0;0;0;0;0;0;0;0;Redes Sociales;Twitter;;https://twitter.com/BeyondBCN/status/1025761056495464448;Muy cerca de la orilla;
P_violacea_074;04/08/2018;Verano;nd;Calella;Barcelona;Cataluña;41,6105073;2,6580549;1;1;0;0;Si;0;1;0;0;0;0;0;1;nd;0;0;0;0;0;0;0;0;0;0;Redes Sociales;Twitter;;https://twitter.com/angelina_muntal/status/1025816020886466561;Muy cerca de la orilla;
P_violacea_075;04/08/2018;Verano;nd;Torredembara;Tarragona;Cataluña;41,1404437;1,4093565;1;1;0;0;Si;0;1;0;1;0;0;0;0;nd;0;0;0;0;0;0;0;0;0;0;Redes Sociales;Twitter;;https://twitter.com/Albert_Pasto/status/1025627132553248768;;
P_violacea_076;04/08/2018;Verano;nd;Llançà;Girona;Cataluña;42,3644887;3,1642599;1;1;0;0;No;0;0;1;0;0;0;0;1;nd;0;0;0;0;0;0;0;0;0;0;Redes Sociales;Instagram;;https://www.instagram.com/p/BmDzo1PA-na/;;
P_violacea_023;05/08/2018;Verano;nd;Bellavista;Islas Baleares;Islas Baleares;39,4804000;2,7277000;1;1;0;0;Si;0;1;0;0;0;0;0;1;nd;0;0;0;0;0;0;0;0;0;0;Database;Obsdelmar;;https://www.observadoresdelmar.es/Observations/210579;;
P_violacea_038;05/08/2018;Verano;21:41;Sóller;Islas Baleares;Islas Baleares;39,8002280;2,6855915;1;1;0;0;Si;0;0;1;1;0;0;0;0;nd;0;0;0;0;0;0;0;0;0;0;Database;GBIF;;https://www.inaturalist.org/observations/15205269;;
P_violacea_077;05/08/2018;Verano;nd;Estaritit;Girona;Cataluña;42,0347978;3,1955643;1;1;0;0;nd;0;0;1;0;0;0;0;1;nd;0;0;0;0;0;0;0;0;0;0;Redes Sociales;Instagram;;www.instagram.com/p/BmGTjjaHlqj;;
